epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.519,2.1844,3.36341,1.42081,0.74227,0.08861,0.10648,0.05714,2.02388,3.1508,1.32014,0.00018456,0.00018456,0.00018456
2,571.944,1.83593,2.70259,1.28367,0.80464,0.12658,0.18223,0.09618,1.8861,2.96642,1.25293,0.000369349,0.000369349,0.000369349
3,811.766,1.71704,2.20899,1.18349,0.35716,0.1953,0.21478,0.12689,1.79304,2.64667,1.22474,0.000546525,0.000546525,0.000546525
4,1012.87,1.67306,2.2357,1.13242,0.38931,0.21439,0.25049,0.1535,1.77683,3.67189,1.20017,0.000716088,0.000716088,0.000716088
5,1233.14,1.57918,1.90178,1.13513,0.34517,0.30092,0.32229,0.18872,1.69443,2.99188,1.17054,0.000708095,0.000708095,0.000708095
6,1452.02,1.44288,1.65493,1.13204,0.44652,0.28689,0.3436,0.22783,1.43298,2.62455,1.09503,0.000692869,0.000692869,0.000692869
7,1663.86,1.49885,1.67535,1.15654,0.44246,0.27712,0.3385,0.20918,1.49174,2.37359,1.09397,0.000677643,0.000677643,0.000677643
8,1862.13,1.3287,1.40947,1.08942,0.7041,0.33996,0.35221,0.21631,1.50525,3.4285,1.08029,0.000662417,0.000662417,0.000662417
9,2125.24,1.41974,1.5808,1.12252,0.86036,0.304,0.38368,0.23732,1.41719,2.61094,1.05415,0.00064719,0.00064719,0.00064719
10,2374.56,1.29683,1.27338,1.10278,0.86725,0.33269,0.42105,0.26018,1.42053,1.58567,1.04302,0.000631964,0.000631964,0.000631964
11,2845.15,1.21615,1.0784,1.01841,0.85795,0.39976,0.44047,0.28225,1.40202,1.54331,1.02769,0.000616738,0.000616738,0.000616738
12,3274.43,1.12166,1.02348,0.99419,0.8066,0.44937,0.46413,0.33032,1.20181,1.32534,0.98797,0.000601512,0.000601512,0.000601512
13,3641.99,1.18279,1.07172,1.06406,0.83572,0.40062,0.46011,0.31392,1.2414,1.31552,0.99956,0.000586286,0.000586286,0.000586286
14,4014.65,1.06521,0.94427,0.9783,0.91709,0.41941,0.48195,0.33752,1.1504,1.33362,0.97803,0.000571059,0.000571059,0.000571059
15,4703.48,1.00044,0.90667,0.97066,0.92763,0.4356,0.49051,0.32201,1.19293,1.37461,0.98269,0.000555833,0.000555833,0.000555833
16,5157.33,0.97903,0.95454,0.92068,0.59616,0.44194,0.49703,0.33182,1.15403,1.28602,0.97693,0.000540607,0.000540607,0.000540607
17,5561.5,0.9959,0.84387,0.96176,0.98296,0.43164,0.5077,0.35761,1.06848,1.31022,0.95735,0.000525381,0.000525381,0.000525381
18,6059.43,0.9764,0.82613,0.95649,0.97273,0.4264,0.51048,0.3594,1.07275,1.33891,0.96162,0.000510155,0.000510155,0.000510155
19,6341.09,0.89077,0.75087,0.93711,0.84587,0.491,0.51831,0.36289,1.10234,1.10767,0.96459,0.000494928,0.000494928,0.000494928
20,6669.71,0.94328,0.77959,0.94887,0.9356,0.47097,0.52725,0.37417,1.06338,1.08776,0.95418,0.000479702,0.000479702,0.000479702
